fic,date,country,currency,mportret,mportretx
AUS,1994-09-30,AUSTRALIA,AUD,-0.03921026906714797,-0.04414425511595954
AUS,1994-10-31,AUSTRALIA,AUD,0.01642639523595402,0.01090243235262522
AUS,1994-11-30,AUSTRALIA,AUD,-0.06911939422754754,-0.07286767399407246
AUS,1994-12-30,AUSTRALIA,AUD,0.01313132677897388,0.008010467679080202
AUS,1995-01-31,AUSTRALIA,AUD,-0.04477578027162754,-0.04519289517247704
AUS,1995-02-28,AUSTRALIA,AUD,0.04268280625777865,0.04128588997462845
AUS,1995-03-31,AUSTRALIA,AUD,-0.006848992438700741,-0.01429309128759726
AUS,1995-04-28,AUSTRALIA,AUD,0.08059722077870735,0.07797540790215263
AUS,1995-05-31,AUSTRALIA,AUD,-0.02278118208582813,-0.02615341114620628
AUS,1995-06-30,AUSTRALIA,AUD,-0.0004611632310241864,-0.007988942530932519
AUS,1995-07-31,AUSTRALIA,AUD,0.05656780117523907,0.0565294417908877
AUS,1995-08-31,AUSTRALIA,AUD,0.01481659848086947,0.01361777935418229
AUS,1995-09-29,AUSTRALIA,AUD,0.009893403179754179,0.003776307372078458
AUS,1995-10-31,AUSTRALIA,AUD,-0.01689023117502297,-0.02309673082018771
AUS,1995-11-30,AUSTRALIA,AUD,0.04674253610564216,0.0432620584037402
AUS,1995-12-29,AUSTRALIA,AUD,0.02556903293872148,0.01924271088157248
AUS,1996-01-31,AUSTRALIA,AUD,0.04225143571764556,0.04171842416789273
AUS,1996-02-29,AUSTRALIA,AUD,-0.0002388316528842971,-0.003231949353159624
AUS,1996-03-29,AUSTRALIA,AUD,-0.01894155180269919,-0.02313857616843773
AUS,1996-04-30,AUSTRALIA,AUD,0.04561557592848109,0.04175842615184622
AUS,1996-05-31,AUSTRALIA,AUD,-0.01338079860997032,-0.01631071256442207
AUS,1996-06-28,AUSTRALIA,AUD,-0.006321160630685885,-0.01176151040650542
AUS,1996-07-31,AUSTRALIA,AUD,-0.03477178275370418,-0.03501192802093878
AUS,1996-08-30,AUSTRALIA,AUD,0.04466320290899506,0.04126535066248516
AUS,1996-09-30,AUSTRALIA,AUD,0.01909362589542041,0.01502628780669757
AUS,1996-10-31,AUSTRALIA,AUD,0.03136603859022347,0.02445075574295075
AUS,1996-11-29,AUSTRALIA,AUD,0.02568026683679814,0.02431565749063136
AUS,1996-12-31,AUSTRALIA,AUD,0.0215165537902493,0.01638480671162501
AUS,1997-01-31,AUSTRALIA,AUD,0.003825816741785726,0.00354933759942444
AUS,1997-02-28,AUSTRALIA,AUD,0.01065060731375489,0.00651659525868209
AUS,1997-03-27,AUSTRALIA,AUD,0.00119191296379384,-0.002076438769718525
AUS,1997-04-30,AUSTRALIA,AUD,0.03664242841462628,0.03344390615396087
AUS,1997-05-30,AUSTRALIA,AUD,0.05337360390319201,0.05064980576591571
AUS,1997-06-30,AUSTRALIA,AUD,0.05019572190930721,0.04440329850339486
AUS,1997-07-31,AUSTRALIA,AUD,-0.0007452449316982523,-0.000995790952586506
AUS,1997-08-29,AUSTRALIA,AUD,-0.05250763429626715,-0.05547233823527697
AUS,1997-09-30,AUSTRALIA,AUD,0.06801798768458323,0.06302488982360432
AUS,1997-10-31,AUSTRALIA,AUD,-0.1059305695345015,-0.110570595103897
AUS,1997-11-28,AUSTRALIA,AUD,0.008428222452118606,0.004576292547495031
AUS,1997-12-30,AUSTRALIA,AUD,0.05727445627843375,0.05362551945724126
AUS,1998-01-30,AUSTRALIA,AUD,0.00607060768732981,0.00581990984240166
AUS,1998-02-27,AUSTRALIA,AUD,0.01593412561951801,0.0121470696157806
AUS,1998-03-31,AUSTRALIA,AUD,0.02085883768645913,0.01617428666674092
AUS,1998-04-30,AUSTRALIA,AUD,0.004024402745770761,0.001921122004628906
AUS,1998-05-29,AUSTRALIA,AUD,-0.01408567489717094,-0.01621857669571514
AUS,1998-06-30,AUSTRALIA,AUD,-0.04608700435124247,-0.05211314005214096
AUS,1998-07-31,AUSTRALIA,AUD,0.04085246573269496,0.03149143572372526
AUS,1998-08-31,AUSTRALIA,AUD,-0.06162339629903379,-0.06429313847856721
AUS,1998-09-30,AUSTRALIA,AUD,0.04972938097809609,0.04183388821771294
AUS,1998-10-30,AUSTRALIA,AUD,0.02429711320625616,0.02017290483489131
AUS,1998-11-30,AUSTRALIA,AUD,0.03118065660268088,0.02840237090130704
AUS,1998-12-31,AUSTRALIA,AUD,0.0163908948875171,0.01371735327375845
AUS,1999-01-29,AUSTRALIA,AUD,0.01802665684315596,0.01755116430752923
AUS,1999-02-26,AUSTRALIA,AUD,0.008242638943494196,0.005481301961667961
AUS,1999-03-31,AUSTRALIA,AUD,0.03534095268012671,0.03009054045841797
AUS,1999-04-30,AUSTRALIA,AUD,0.04888606182987854,0.04738132938473671
AUS,1999-05-31,AUSTRALIA,AUD,-0.06185204104426578,-0.06352041891188376
AUS,1999-06-30,AUSTRALIA,AUD,0.01458555844303477,0.00878172739495131
AUS,1999-07-30,AUSTRALIA,AUD,0.005714126035727629,0.005232141638393584
AUS,1999-08-31,AUSTRALIA,AUD,-0.007202744383526638,-0.009492591550757101
AUS,1999-09-30,AUSTRALIA,AUD,-0.008589269288670875,-0.0191029475453065
AUS,1999-10-29,AUSTRALIA,AUD,0.004530868982532743,0.001253285450838915
AUS,1999-11-30,AUSTRALIA,AUD,0.05881069489007573,0.05503860005161032
AUS,1999-12-30,AUSTRALIA,AUD,0.01204303104409332,0.01048780619534573
AUS,2000-01-31,AUSTRALIA,AUD,-0.0399329988801006,-0.040270931159615
AUS,2000-02-29,AUSTRALIA,AUD,-0.02017076836100573,-0.0259881434011785
AUS,2000-03-31,AUSTRALIA,AUD,0.0147237986373947,0.007903497054725817
AUS,2000-04-28,AUSTRALIA,AUD,0.007382309683787724,0.006901504785908008
AUS,2000-05-31,AUSTRALIA,AUD,0.0004136079294025929,-0.001223253785801459
AUS,2000-06-30,AUSTRALIA,AUD,0.05677477770062334,0.05082328547622605
