date,rf
2015-07-31,2.534758131479167e-05
2015-08-31,-6.336785093000083e-06
2015-09-30,-2.3234634228829165e-05
2015-10-30,2.112293455406917e-05
2015-11-30,0.00010139412767579165
2015-12-31,5.7033121419725844e-05
2016-01-29,0.00019012436809643336
2016-02-29,0.00018589723878525
2016-03-31,6.33703659617325e-05
2016-04-29,0.000109844706345425
2016-05-31,0.0001901219911604417
2016-06-30,0.0001753359734304667
2016-07-29,0.0001520962618818917
2016-08-31,0.000198576574402325
2016-09-30,0.00015632152719031667
2016-10-31,0.00013519449879805
2016-11-30,0.00025351025066138334
2016-12-30,0.000342252960052275
2017-01-31,0.00039295808499155004
2017-02-28,0.0003574588391557667
2017-03-31,0.0005747216062905583
2017-04-28,0.0005620399405601
2017-05-31,0.00062546293131855
2017-06-30,0.0007142317955080333
